artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes
backstreet boys,shape of my heart,230093,FALSE,2000,70,58.97435897,78.67867868,9,-4.353,1,5.138888889,28.21948488,0,18.64009379,53.23741007,96.102,pop,3.834883333
creed,with arms wide open,274800,FALSE,1999,64,42.05128205,53.95395395,0,-8.412,1,5.243055556,0.475923852,0.00089,13.71629543,14.49126413,138.852,pop,4.58
the corrs,breathless,207506,FALSE,2000,68,62.25641026,82.08208208,11,-7.754,1,10.36458333,6.058230683,6.80E-05,31.53575615,78.9311408,126.988,pop,3.458433333
joe,i wanna know,296693,FALSE,2000,65,74.35897436,48.74874875,8,-5.959,0,6.388888889,29.11534155,1.09E-05,50.52754982,61.56217883,136.086,pop,4.944883333
christina aguilera,come on over baby (all i want is you) - radio version,203333,FALSE,1999,64,85.02564103,91.59159159,8,-3.205,1,18.40277778,25.30795073,1.25E-05,28.83939039,80.06166495,118.903,pop,3.388883333
creed,higher,316733,FALSE,1999,69,47.07692308,83.08308308,2,-6.254,1,6.319444444,0.005767077,0.00014,24.15005862,44.29599178,155.827,pop,5.278883333
britney spears,lucky,206226,FALSE,2000,65,78.46153846,79.17917918,8,-5.707,1,5.503472222,29.33930571,0.000154,7.842907386,99.28057554,95.026,pop,3.4371
nelly,country grammar (hot shit),287000,TRUE,2000,68,88.71794872,66.46646647,2,-6.822,1,18.75,0.771556551,0,16.64712778,58.06783145,162.831,hip hop,4.783333333
shaggy,it wasn't me,227600,FALSE,2000,76,87.48717949,60.66066066,0,-4.596,1,12.37847222,6.282194849,0,36.6940211,67.21479959,94.759,hip hop,3.793333333
destiny's child,survivor,254026,FALSE,2001,70,52.71794872,91.19119119,1,-2.027,0,71.18055556,6.259798432,0,90.85580305,63.61767729,161.109,pop,4.233766667
eminem,stan,404106,TRUE,2000,83,80,76.87687688,6,-4.325,0,41.31944444,4.154535274,2.34E-06,60.72684642,52.10688592,80.063,hip hop,6.7351
kylie minogue,can't get you out of my head,230640,FALSE,2001,73,78.56410256,56.35635636,9,-7.516,0,5.885416667,2.945128779,0.683,13.48182884,99.07502569,126.007,pop,3.844
christina aguilera,"lady marmalade - from ""moulin rouge"" soundtrack",264893,FALSE,2001,68,77.94871795,80.18018018,5,-3.769,1,9.270833333,1.612541993,1.49E-05,77.96014068,67.11202467,109.919,pop,4.414883333
nelly furtado,i'm like a bird,243160,FALSE,2000,1,63.79487179,60.86086086,10,-5.085,1,6.25,15.45352744,5.38E-06,32.00468933,62.38437821,89.661,hip hop,4.052666667
shakira,"whenever, wherever",196160,FALSE,2001,74,81.43589744,83.28328328,1,-4.862,0,7.065972222,26.53975364,1.14E-05,23.79835873,89.51695786,107.657,pop,3.269333333
jimmy eat world,the middle,165853,FALSE,2001,78,65.94871795,84.98498498,2,-5.428,1,9.131944444,4.154535274,0,6.799531067,92.8057554,162.152,rock,2.764216667
train,drops of jupiter (tell me),259933,FALSE,2001,77,49.33333333,63.86386386,0,-5.862,1,4.791666667,17.13325868,0,18.05392732,51.07913669,79.064,pop,4.332216667
geri halliwell,it's raining men,254640,FALSE,2001,62,65.33333333,92.99299299,5,-6.03,0,7.760416667,7.054871221,0.00796,37.28018757,62.07605344,136.482,pop,4.244
blu cantrell,hit 'em up style (oops!),250706,FALSE,2001,71,68.41025641,77.37737738,5,-4.983,0,10.17361111,22.50839866,0,47.36225088,68.55087359,89.976,pop,4.178433333
britney spears,i'm a slave 4 u,203600,FALSE,2001,69,86.87179487,84.38438438,5,-3.579,0,18.40277778,46.47256439,0.000134,12.54396249,98.97225077,110.027,pop,3.393333333
kylie minogue,in your eyes,197826,FALSE,2001,62,70.66666667,89.48948949,6,-6.342,0,11.66666667,14.89361702,4.72E-05,7.983587339,72.86742035,123.971,pop,3.2971
missy elliott,one minute man (feat. ludacris),252986,TRUE,2001,57,63.79487179,66.96696697,9,-8.419,1,57.11805556,2.978723404,2.97E-06,17.81946073,58.58170606,93.839,hip hop,4.216433333
mary j. blige,family affair,265866,FALSE,2001,76,93.43589744,55.15515516,8,-3.75,0,7.795138889,14.78163494,4.12E-05,10.11723329,99.58890031,92.887,pop,4.4311
limp bizkit,rollin' (air raid vehicle),213760,TRUE,2000,73,61.84615385,93.39339339,1,-3.358,1,29.6875,0.66181411,0,24.15005862,72.86742035,96.306,metal,3.562666667
